Id,Category,Topic,Source,Headline,Text,Link,longitud,num_palabras,palabras_unicas,palabras_unicas_ratio,mayusculas,exclamaciones,interrogaciones,puntuacion_total,sensacionalistas,contiene_url,num_entidades,polaridad_pos,polaridad_neg,num_citas,nombres_propios
1,Fake,Education,El Ruinaversal,"RAE INCLUIRÁ LA PALABRA ""LADY"" EN EL DICCIONARIO DEL IDIOMA ESPAÑOL COMO DEFINICIÓN DE ""MUJER PROBLEMÁTICA""",inst_rae verb_incluir palabra lady diccionario idioma español definición mujer problemático españa.- presidente inst_rae inst_rae darío villanueva verb_informar conferencia prensa mes verb_incluir término lady palabra diccionario idioma español darío verb_señalar lady verb_servir verb_definir mujer problemático mujer verb_causar problema verb_mencionar palabra verb_ser verb_utilizar idioma inglés castellano verb_tener significado verb_ser verb_contar palabra idioma inglés verb_utilizar español verb_tener significado globalización persona verb_haber verb_comenzar verb_adoptar término anglosajón verb_utilizar significado real caso expresión lady verb_significar idioma original dama inglés verb_usar verb_definir mujer verb_ser problemático verb_acostumbrar verb_causar problema alboroto gente verb_poder verb_decir él lady fémina verb_causar sensacional verb_ser agresivo verb_provoque tipo problema término verb_dejar verb_considerar él palabra exclusivo idioma inglés verb_incluir diccionario lengua español verb_pasar verb_ser palabra oficial castellano significado distinto verb_confesar villanueva verb_presentar definición oficial verb_aparecer diccionario verb_señalar verb_ser -lady anglosajón ænglisc part difficili problematico ferox agresivo verb_number*.- adj mujer excesivamente problemático verb_number*.- adj mujer verb_causar problema alboroto verb_number*.- adj mujer verb_tender verb_causar conflicto verb_ser agresivo verb_poder verb_interesar chola verb_descubrir donita bimbo verb_poder verb_comer verb_servir verb_maquillar él verb_number*.- adj mujer verb_guir instinto animal verb_importar verb_crear conflicto presidente verb_señalar verb_ser miembro mexicano inst_rae verb_proponer verb_incluir palabra mes análisis finamente verb_ser verb_aceptar comité verb_ser término verb_tener origen méxico verb_usar país hispano video lady´ verb_haber verb_circular verb_servir verb_crear perfecto definición verb_servir verb_resumir verb_definir hembra problemático verb_decir darío sensacional verb_encontrar verb_analizar idea verb_incluir término lord diccionario verb_ser equivalente definición masculino lady,http://www.elruinaversal.com/2017/06/10/rae-incluira-la-palabra-lady-en-el-diccionario-del-idioma-espanol-como-definicion-de-mujer-problematica/,2605,423,233,0.5508274231678487,156,0,0,0,1,0,0,0,0,8,31
2,Fake,Education,Hay noticia,"La palabra ""haiga"", aceptada por la RAE",palabra haiga aceptado inst_rae real academia lengua inst_rae verb_haber verb_aceptar haiga utilización persona singular presente subjuntivo verbo verb_hacer verb_asegurar forma recomendable lengua culto tiempo verb_seguir verb_ser verb_haber verb_haber verb_confirmar fuente inst_rae verb_explicar cambio verb_haber verb_ser verb_proponer aprobado pleno academia lengua extendido utilización territorio nacional empleado persona carente estudio estudio básico graduado escolar verb_ser objeto verb_bur él compañero diario verb_repetir verb_haigar faena verb_poder verb_quejar yo abuela verb_repetir verb_haiguir sacao juguete recoja palabra novedoso verb_haber verb_aceptar inst_rae verb_contar verb_descambiar verb_significar verb_deshacer cambio ejemplo verb_devolver compra verb_ver visto verb_apostar palabra follamigo verb_ser lista,https://haynoticia.es/la-palabra-haiga-aceptada-la-rae9999/,1063,178,117,0.6573033707865169,31,0,0,0,0,0,0,0,0,8,13
3,Fake,Education,El Ruinaversal,YORDI ROSADO ESCRIBIRÁ Y DISEÑARÁ LOS NUEVOS LIBROS DE TEXTO DE LA SEP PARA HACERLOS MÁS ATRACTIVOS,yordi rosado verb_escribir verb_diseñar libro texto inst_sep atractivo méxico.- director inst_sep aurelio nuño verb_informar dramaturgo conductor yordi rosado verb_ser encargado verb_redactar libro texto verb_repartir escuela país ciclo escolar verb_dejar verb_ser gratuito verb_tener costo aurelio verb_señalar verb_decidir verb_contratar yordi verb_escribir manual verb_hacer atractivo texto alumno verb_interesen verb_aprender libro verb_dejar verb_tener lenguaje aburrido verb_ser verb_presentar idioma fresco juvenil moderno desafortunadamente gobierno verb_tener recurso verb_seguir verb_regalar libro ciclo escolar padre familia verb_deber verb_hacer pequeño sacrificio verb_pagar módico cantidad hijo verb_poder verb_seguir verb_aprender realmente verb_ser simbólico libro verb_costar usd*number pesito verb_ser precio verb_tener niño verb_poder verb_forjar él futuro verb_decidir verb_contratar rosado verb_querer verb_hacer libro calidad verb_ser atractivo generación verb_decir nuño verb_mencionar conductor verb_explicar estudiante materia matemática historia geografía español tema idioma alegre jocoso verb_hacer disfrutable aprendizaje verb_querer niño verb_llegar casa verb_abran gustoso libro texto verb_aburran verb_hojear él QUEST verb_ondiux matemática QUEST verb_ser ejemplar matemática QUEST pex spanish QUEST verb_ser edición español texto verb_ser verb_redactar forma atractivo verb_tener padrísimo dibujo ilustración diseñado rosado verb_comentar director verb_mencionar yordi verb_redactar libro primaria secundario prepo verb_dominar lenguaje adolescente pre adolescente niño realmente verb_hacer labor investigación verb_entender verb_dominar perfección lenguaje generación estudiante definitivamente verb_ir verb_disfrutar texto verb_ir verb_identificar idioma juvenil rosado verb_respetar contenido verb_alterar él verb_lograr verb_convertir él lenguaje chaviza verb_estar verb_quedar picado verb_leer él neta verb_estar padrísimo verb_puntualizar verb_reir director,http://www.elruinaversal.com/2018/05/06/yordi-rosado-escribira-y-disenara-los-nuevos-libros-de-texto-de-la-sep-para-hacerlos-mas-atractivos/,2469,401,230,0.57356608478803,117,0,4,4,0,0,0,0,0,5,17
4,True,Education,EL UNIVERSAL,UNAM capacitará a maestros para aprobar prueba Pisa,inst_unam verb_capacitar maestro verb_aprobar prueba pís máximo casa estudio inst_sep verb_firmar convenio facultad ciencia químico instituto matemática enseñen profesor estrategia verb_impartir disciplina alumno verb_preescolar primario secundario universidad nacional autónomo méxico inst_unam verb_capacitar profesor educación obligatorio matemática ciencia lectura enseñanza materia escuela público necesidad verb_mejorar resultado méxico prueba internacional aprovechamiento escolar pisa firma convenio general específico colaboración universidad nacional inst_sep inst_sep rector enrique graue wiechers verb_señalar objetivo instrumento verb_ser facultad ciencia químico instituto matemática máximo casa estudio verb_colaborir dependencia federal verb_ofrecer curso capacitación maestro mexicano,http://www.eluniversal.com.mx/articulo/nacion/sociedad/2017/02/8/unam-capacitara-maestros-para-aprobar-prueba-pisa,1087,167,95,0.5688622754491018,43,0,0,0,0,0,0,0,0,0,15
5,Fake,Education,Lamula,pretenden aprobar libros escolares con contenido sesgado sobre el conflicto armado interno,alerta verb_pretender verb_aprobar libro escolar contenido sesgado conflicto armado interno verb_seguir campaña negacionista fujimorismo congreso bancado fuerza popular verb_presionar verb_revisen texto escolar contenido época terrorismo denuncia coordinadora nacional derechos humanos cnddhh organización ministerio educación minedu verb_estar punto verb_aprobar libro secundaria contenido sesgado periodo conflicto armado interno verb_faltar memoria ciento mil víctima violencia terror desatado año number number perú cnddhh verb_denunciar verb_ser resultado convenio suscrito setiembre number ministro educación idel vexler presidente congreso fujimorista luis galarreta conformación comisión verb_incluir personaje exvicepresidente alberto fujimori francisco tudela vicealmirante retiro implicado matanza frontón luis giampietri proceso revisión verb_haber verb_realizar taller verb_participar congresista asesor miembro retiro fuerza armadas lugar institución especialista experto asunto pedagógico derechos humanos sentido cnddhh verb_advertir verb_ser modalidad injerencia congreso competencia verb_corresponder ejecutivo cnddhh verb_sostener verb_tener finalidad verb_negar ocurrido responsabilidad distinto actor verb_cometer grave crimen humanidad verb_someter país miedo terror verb_incluir responsabilidad verb_ser pronunciamiento cnddhh minedu texto escolar política educativo verb_poder verb_desconocer país pronunciamiento coordinadora nacional derechos humanos cnddhh frente propuesta ministerio educación minedu contenido enseñanza terrorismo perú texto escolar verb_pretender verb_validar verb_imprimir extremo celeridad verb_señalar verb_alertar ciudadanía carácter urgencia number actual congreso república mayoría verb_venir verb_ejercer presión ejecutivo entidad verb_favorecer interés particular verb_resultar lesivo país mayoría ciudadano contexto verb_haber verb_desplegar agresivo campaña verb_pretender verb_negar visión comprehensivo período conflicto armado interno cai responsabilidad distinto actor verb_cometer grave crimen humanidad verb_someter país miedo terror verb_incluir responsabilidad number campaña negacionismo verb_haber verb_proponer verb_imponer minedu visión sesgado historia cai verb_afectar derecho verb_tener ciudadanía particular niña niño adolescente formación escolar number septiembre number congreso minedu verb_suscribir convenio verb_reforzar educación cívico democrático colegio verb_anunciar conformación comisión verb_abrir peligroso puerta injerencia congreso competencia verb_corresponder gobierno number orientación actual gestión minedu verb_haber verb_realizar number taller consulta verb_validar contenido texto escolar verb_priorizar participación congresista asesor fuerza popular miembro situación retiro verb_ffaa proceso validación verb_adquirir carácter político verb_imponer criterio técnico pedagógico especializado verb_deber verb_garantizar derecho educación proceso verb_omitir criterio metodológico participación amplio especialista materia number política educativo país verb_deber verb_ser leal historia reciente principio democrático respeto profundo derecho fundamental persona verb_advertir consejo derechos humanos naciones unidas estrategia global verb_hacer frente condición verb_propiciar propagación terrorismo medida eficaz terrorismo protección derechos humanos verb_ser objetivo contrapuesto number derecho verb_ser derecho fundamental individual colectivo reconocido tribunal constitucional corte interamericán derechos humanos verb_exigir verb_promover política educación objetividad verb_pasar país verb_ser causa sentido minedu verb_poder verb_someter él presión congreso verb_hacer él cómplice negacionismo consideración cnddhh verb_exhortar minedu verb_exigir peruano verb_promover diálogo amplio abierto contenido mencionado texto escolar conducente verb_garantizar futuro generación derecho política educativo memoria verb_respetar principio democrático derecho fundamental,https://redaccion.lamula.pe/2018/06/19/memoria-derechos-humanos-conflicto-armado-interno-peru-ministerio-educacion-libros-secundaria-cnddhh/jorgepaucar/,5404,839,381,0.4541120381406436,305,0,0,0,1,0,0,0,0,4,82
6,True,Education,Heraldo,Un paso más cerca de hacer los exámenes 'online',paso cerca verb_hacer examen verb_online cerca number universitario universidad europeo verb_participar cuatrimestre fase prueba programa informático verb_permitir verb_certificar identidad autoría estudiante verb_realizar actividad online examen trabajo prueba proyecto verb_encontrar fase prueba piloto verb_poner prueba versión software verb_incluir herramienta reconocimiento facial voz verb_capturar patrón escritura verb_detectar plagio verb_analizar lenguaje estilo redacción impulsor fase verb_haber prueba verb_estar verb_participar number estudiante universitat oberta catalunya uoc verb_participar number estudiante number profesor number docente prueba verb_participar number number estudiante balance prueba verb_ser positivo verb_examinamos instrumento forma aislado verb_probar versión completo sistema verb_explicar responsable proyecto iniciativa coordinado uoc verb_recibir nombre tesla verb_haber verb_ser verb_impulsar consorcio formado number organización universidad grupo investigación empresa agencia calidad paragua comisión europea presupuesto number millón euros universidad español verb_estar implicado desarrollo programa prueba open university reino unido verb_opir universiteit nederlands ounl país verb_anadolu university turquía university jyväskylä jyu finlandia verb_university kliment verb_ohridski sofía bulgaria technical university sofia bulgaria consorcio verb_teslar verb_completar university namur unamur bélgica imperial college london reino unido instituto mines-télécóm imt francia centro investigación instituto nacional astrofísica óptico electrónica(inaoe méxico idiap research institute foundation suizo agencia calidad enqa aqu cataluña verb_eqanie empresa tecnológico lplus gmbh alemania proto sistema información españa verb_wfsw watchful portugal,https://www.heraldo.es/noticias/suplementos/heraldo-joven/2017/11/24/un-paso-mas-cerca-hacer-examenes-online-1209904-2261031.html,2434,373,221,0.5924932975871313,195,0,0,0,0,0,0,1,0,2,53
7,Fake,Education,El Ruinaversal,UNAM REALIZARÁ PRUEBAS ANTIDOPING A ESTUDIANTES DE SOCIOLOGÍA Y FILOSOFÍA; EXPULSARÁN A LOS QUE DEN POSITIVO,inst_unam verb_realizar prueba antidoping estudiante sociología filosofía verb_expulsar verb_dar positivo méxico.- rector universidad autónomo méxico enrique graue wiechers sensacional conferencia prensa ciclo escolar estudiante carrera sociología filosofía verb_ser verb_someter examen antidoping verb_aplicar number mes alumno verb_dar positivo verb_ser verb_expulsar definitivamente institución finalidad verb_frenar venta consumo droga instalación verb_limpiar fama licenciatura verb_tener verb_ser puro marihuano borracho enrique verb_dejar verb_ser verb_saber facultad verb_ser verb_consumir sustancia ilícito instalación alumno verb_haber verb_apoderar área verb_ir él verb_drogar horario clase verb_haber verb_ser tolerante alumno general verb_descubrir alumno independientemente facultad verb_encontrar verb_consumir bebida alcohólico verb_cometer falta reglamento inmediatamente verb_ser verb_trasladar rectoría verb_imponer él castigo verb_poder verb_llegar expulsión vigilante cuerpo seguridad sociología filosofía verb_preferir verb_hacer él vista gordo carrera verb_ser común alumno verb_estar verb_drogar verb_ser imposible controlarlo rector verb_dar libertad estudiante verb_ser hora ponerl alto cosa verb_ser verb_querer verb_luchar sistema verb_romper regla verb_hacer él ofendido verb_comentar graue verb_recordar caso yorch estudiante verb_hacer mes verb_ser verb_detener verb_traficar droga inmediación auditorio filosofía verb_ser caso conocido verb_ser único verb_tener registro realidad verb_ser decena alumno carrera verb_vender verb_comprar verb_traficar verb_consumir droga instalación venta consumo verb_dar carrera verb_ir verb_negar filosofía sociología verb_hacer descarado verb_ser verb_realizarar prueba antidoping verb_gustar verb_salir verb_amenazar verb_ir derechos humanos verb_tener libertad verb_implementar cualquiera regla verb_violent física psicológicamente alguien alumno verb_optar verb_seguir verb_drogar él verb_ser verb_obligar verb_dejar institución verb_ceder él lugar alguien realmente verb_tener deseo verb_ir verb_estudiar verb_agarrar facultad cantina bar verb_echar él churro mota verb_tomar él agua loco verb_puntualizar,http://www.elruinaversal.com/2017/05/06/unam-realizara-pruebas-antidoping-a-estudiantes-de-sociologia-y-filosofia-expulsaran-a-los-que-den-positivo/,2758,460,264,0.5739130434782609,125,0,0,0,0,0,0,1,0,2,17
8,True,Education,Excelsior,Niño de *NUMBER* años se prepara para entrar a la universidad,niño number año verb_preparar verb_entrar universidad coeficiente intelectual number laurent simons verb_terminar educación secundario año verb_tener dificultad verb_relacionar él niño verb_seguir indeciso futuro mayoría niño punto verb_decir verb_odiar escuela verb_querer verb_volver verb_ir verb_existir pequeño estudio verb_ser laurent simons verb_ser niño año nacido bruja bélgica verb_haber verb_acaparar atención verb_estar listo verb_entrar universidad verb_terminar promedio perfecto educación secundario number mes verb_recomendar verb_leer niño verb_pedir verb_ser concha fiesta EXCL tierno verb_verás EXCL información canal belga vrt verb_comenzar educación secundario number ámsterdan verb_culminar tiempo récord gracias coeficiente intelectual number superior rango number number asociado inteligencia corto edad verb_hablar francés alemán holandés inteligencia verb_haber verb_abrir puerta verb_haber verb_ser obstáculo cosa ejemplo verb_hacer amigo padre simons verb_preferir verb_estudiar verb_jugar niño verb_hacer pequeño verb_tener mente verb_convertir él cirujano astronauta verb_estar interesado ingeniería verb_gustar matemática verb_ser vasto verb_tener rama verb_decir afortunadamente decisión verb_ser verb_preocupar progenitor único verb_desear hijo verb_ser verb_ser feliz verb_decidir verb_ser carpintero verb_ser problema importante verb_ser verb_ser feliz verb_afirmar padre verb_alexander,https://www.excelsior.com.mx/trending/nino-de-8-anos-se-prepara-para-entrar-a-la-universidad/1250474,1731,289,188,0.6505190311418685,68,2,0,2,0,0,0,0,0,0,16
9,True,Education,El país,*NUMBER* palabras que creíamos inaceptables y que la RAE (sorprendentemente) aprueba,number palabra verb_creíar inaceptable inst_rae sorprendentemente verb_aprobar verb_twitter inst_rae hierve actividad respuesta consulta usuario verb_dejar indiferente consulta verb_ser forma correcto verb_referir él internet internet internet verb_ser ciento pregunta lector verb_lanzar inst_rae verb_twitter verb_ser respondida imagen actor yon gonzález julián lópez película verb_perder norte number inst_rae acusa cosa rancia obsoleta lento reflejo verb_poder verb_reprochar verb_dar cara inst_rae verb_ser activo red social twitter etiqueta raeconsulta verb_resolver tipo duda hispanohablant propósito término cotidiano verb_saber verb_ser correcto echa humo verb_ser consultorio elena francis verb_dejar espacio sorpresa verb_aprobar palabra expresión verb_creíar erróneo siquiera verb_figurar diccionario QUEST verb_comar QUEST experto lingüista verb_aclar ejemplo concreto fan verb_resultar verb_tener camilo sesto peco tequila verb_ser fan fan normal español verb_ser palabra terminado verb_formen plural verb_decir flan verb_flans verb_debeer verb_decir fan fan verb_pasar terminado verb_tender verb_decir córner másters póster adecuado español verb_ser verb_decir córner máster póster verb_ser verb_haber verb_optar momento revólver cráter verb_decir juan romeu verb_guasapear verb_denominar verb_guasapear whatsapp verb_recordar sevillano verb_llamar guasa rafael portero ruso dassaev atenuante verb_escribir nombre aplicación verb_ser difícil juan verb_romeu verb_explicar extranjerismo crudo verb_ser preferible verb_emplear forma español adaptación español extranjerismo verb_haber verb_haber adaptación bruta fútbol football fuagrás foie-gra usamo verb_rechistar caso verb_haber verb_pasar champú shampoo chut shoot panorama verb_ser comprensible inst_rae verb_proponer guasap wasap gente probablemente verb_preferir wasap verb_preferir wiski verb_ser verb_conseguir verb_evitar forma whatsapp caso tuit verb_parecer verb_haber verb_lograr verb_asentar adaptación profe profa acortamiento profesor profesora balbuceo infantil padre enrollado inst_rae verb_dar válido verb_ser correcto verb_haber cine cinematógrafo micro micrófono verb_aceptar registro formal verb_sostener juan romeu doctor filología hispánico universidad complutense csic colaborador inst_rae divulgador web sinfaltas.com verb_añadir acortamiento diccionario edición number number depre depresión depresivo frigo frigorífico insti instituto alguien verb_interesar verb_ver verb_haber diccionario verb_poder verb_usar diccionario avanzado enclave inst_rae plataforma inst_rae internet internet verb_sonar verb_decir omaíta scketch moranco verb_ser correcto hablant verb_usam tú internet masculino internet verb_sonar fatal verb_pensar femenino verb_ser razonable internet verb_ser red verb_haber razón verb_censurar opción curiosamente motivo américa verb_soler verb_preponderar femenino caso masculino españa verb_poder verb_depender verb_haber duda verb_extranjerismos story red social instagram escape room QUEST verb_ser story story escape room escape room QUEST verb_parecer táblet forma recomendable verb_tabletir verb_preferir verb_mantener femenino tableta verb_usar táblet verb_aclarar juan verb_romeu caraanchoa académico lengua verb_admitir caraanchoa caranchoa verb_ser excesivamente frecuente español creación compuesto formado nombre verb_ser verb_afirmar verb_romeu verb_parecer verb_estar verb_ser productivo actualidad verb_tener caso cuerpo caraculo pelopincho pecholobo verb_ser válido QUEST verb_ir verb_ser él caraanchoa bocachancla QUEST verb_poder verb_decir batamanta verb_ser compuesto formado nombre verb_indicar verb_componer objeto verb_referir bata verb_ser manta verb_poder verb_considerar válido compuesto significado verb_ser transparente componente perroflauta feminazi follamigo verb_hallar sumergido momento creación palabra genial lingüista cualquiera aficionado lengua verb_deber verb_desoír verb_arremangar contrariamente verb_caber verb_pensar verb_arremangar verb_constar diccionario tipo advertencia vulgaridad verb_equipar visto verb_remangar verb_defender ángel lópez catedrático lingüístico universidad valencia divulgador blog lingüístico frikis idea verb_ser hispanohablant verb_ser él verb_tener razón verb_decir verb_pertenecer dominio español verb_ser sensibilidad actual academia verb_venir sanción académico verb_ser posterior creación hablant lideresa QUEST miembra verb_ser incorrecto cambio lideresa verb_estar QUEST puesto sufijo -és verb_formar femenino verb_ser verb_válir español abadesa tigresa condesa vampiresa verb_impedir verb_poder verb_formar verb_considerar válido lideresa verb_decir juan romeu cambio verb_considerar verb_tener justificación gramatical caso miembra verb_portavozar principio verb_conservar percepción verb_ser miembro cuerpo elemento verb_formar portavoz verb_usar femenino verb_ser similar verb_usar parto lugar masculino guardameto guardameta femenino verb_poder verb_considerar válido verb_asentar verb_estar justificado gramaticalmente verb_agendar verbo raeconsulta verb_decir verb_ser neologismo válido verb_estar diccionario verb_tener explicación verb_ser anglicismo crudo americano verb_decir verb_faltar razón español verb_ser number hablant academia verb_quedar remedio verb_aceptar él hablant américa verb_usar verb_señalar catedrático ángel lópez verb_apuntar juan romeu palabra verb_intentar verb_buscar mes ejemplo number diccionario verb_poder verb_comprobar herramienta registro consulta enclave inst_rae verbo verb_estar justificado morfológicamente verb_ser derivado formado agenda verb_ser normal verb_aceptar verb_ir verb_incluir próximamente diccionario bizarro verano lector verb_dar carné identidad artículo verb_hablábar foto bizarra famoso sentido rara verb_aducir bizarro español verb_significar valiente mira verb_estar lector verb_tener razón verb_ser normal inst_rae verb_haber verb_levantar mano caso verb_decir verb_romeu verb_explicar origen italiano bizzarro verb_significar verb_iracundo verb_pasar raro fantástico italiano valiente español significado raro italiano verb_llegar francés inglés verb_hacer español verb_conocer bizarro valiente verb_dar voz alarma inst_rae verb_empezar verb_censurar bizarro raro verb_parecer extensión verb_haber verb_hacer verb_poder verb_admitir él máxime verb_parecer significado raro personaje bizarro cómics difusión significado programa televisión verb_estar extendido óscar verb_saber verb_pensar guillermo toro verb_llamar óscar colección estatuilla verb_óscar verb_tratar palabra español plural verb_deber verb_ser óscar nombre premio verb_recomendar verb_emplear nombre inglés premio oscar verb_mantener él invariable plural premio oscar nombre común referido estatuilla verb_recomendar verb_usar adaptación óscar cuyo plural verb_deber verb_ser óscar forma óscars verb_ser híbrido español inglés presión inglés verb_ser alto verb_estar harto verb_oír oscars verb_usar forma verb_deber verb_escribir él cursiva preciso verb_romeu imprimido participio históricamente reprobado redacción periódico revista verb_decir impreso imprimido verb_ser verb_aprender becario verb_tener malo verb_ser frecuente verb_pensar participio verb_imprimir verb_ser impreso ejemplo verb_haber verb_impreso documento imprimido verb_ser correcto verb_decir inst_rae repetido tuit verb_ser impreso verb_usar verb_hacer tiempo español siglo xiii imprimido verb_usar siglo verb_haber razón verb_censurar él verb_ser forma regular verb_explicar juan romeu latín verb_haber serie verbo participio fuerte imprimere verb_ser verb_impressum etimológico verb_ser impreso verb_pedir cuerpo hablante verb_ser imprimido academia verb_poder verb_rechazar verb_decir ángel lópez verb_jose josé verb_celebrar santo number marzo verb_atender nombre tilde QUEST verb_haber verb_imponérselar hora verb_escribir él QUEST verb_ser argumento académico verb_aceptar verb_decir verb_deber verb_redactar él caso inst_rae verb_indicar forma tradicional recomendado nombre verb_ser josé verb_ser incorrecto verb_usar verb_jo él hipocorístico nombre cariñoso verb_escribir él tilde verb_comentar juan romeu iro académico pérez-reverte verb_filtrar inst_rae verb_ir verb_aceptar iro ido forma imperativo verb_ir él verb_desatar locura twitter palabra verb_romeu verb_costar verb_hacer verb_entender gente imperativo verb_ir él verb_deber verb_ser verb_íos escaso cuerpo fónico forma verb_rechazar verb_devolver verb_rellenar verb_haber verb_pasar verb_haber verb_añadir verb_ser verb_parecer tiempo verb_haber verb_preferir hablant incluido hablant culto verb_añadir imperativo verb_decir iro verb_decir sentaro sentaos verb_haber verb_haber verb_ser duda común verb_elegir hubiera determinado frase verb_tener verb_usar él ejemplo verb_haber verb_ir verte verb_haber verb_saber verb_estabas verb_ser contexto indicativo forma hubiero subjuntivo verb_considerar correcto verb_tomar caso indicativo encubierto verb_ser válido verb_responder verb_romeu,https://elpais.com/elpais/2018/03/28/icon/1522232572_682924.html,11168,1888,870,0.4608050847457627,299,0,10,10,0,0,0,1,1,21,161
10,Fake,Education,El Ruinaversal,"LIMITARÁN EL TIEMPO DE EGRESO EN FILOSOFÍA Y SOCIOLOGÍA A MÁXIMO *NUMBER* AÑOS PARA EVITAR LA FORMACIÓN DE ""FÓSILES""",verb_limitar tiempo egreso filosofía sociología máximo number año verb_evitar formación fósil méxico.- rector inst_unam enrique luis graue verb_citar conferencia prensa verb_informar año tiempo egreso carrera filosofía sociología universidad país verb_ser verb_limitar máximo number año normalmente duro licenciatura finalidad verb_frenar formación fósil verb_evitar universidad verb_tener gasto innecesario enrique verb_señalar verb_decidir verb_implementar estrategia carrera verb_ser verb_registrar número fósil alumno verb_repruer materia adrede verb_tomar año verb_salir escuela verb_regresar semestre finalidad verb_prolongar estadía universidad verb_convertir zona confort verb_poder verb_interesar lolito vega verb_ganar demanda verb_evitar azteca verb_volver verb_retrasmitir sailor moon licenciatura filosofía sociología verb_estar verb_diseñar verb_acabar él máximo number año carrera verb_ser verb_registrar número chairo guerrillero verb_existir número fósil persona institución verb_convertir zona confort verb_hacer verb_prolongar estadía verb_sentir miedo terrible verb_salir mundo real universidad verb_sentir verb_tener miedo verb_egresar verb_convertir fantasma verb_tomar alumno universidad público verb_costar usd*number mil pesos semestral verb_ser justo gobierno verb_pagar cantidad alguien verb_inscribir verb_tomar materia number mes verb_alargar estadía verb_llegar verb_ser number año verb_decir luis verb_mencionar licenciatura verb_durar number semestre año verb_dar oportunidad verb_estudiar institución number semestre caso verb_retrasar verb_haber gente literalmente duro number semestre universidad verb_ir verb_terminar alumno carrera verb_poder verb_dar baja materia verb_repruer adrede verb_pasarer verb_querer estudiante verb_empeñar verb_reprobar verb_salir verb_desaprovechar año tolerancia verb_ser verb_dar baja automático verb_poder verb_volver verb_ingresar universidad carrera verb_ser justo capricho verb_provocar gobierno gasto millonario incensario verb_poder verb_ser verb_invertir infraestructura material number verb_tener año tolerancia verb_egresar verb_ser único verb_poder verb_acabar fósil verb_puntualizar,http://www.elruinaversal.com/2017/05/19/limitaran-el-tiempo-de-egreso-en-filosofia-y-sociologia-a-maximo-5-anos-para-evitar-la-formacion-de-fosiles/,2857,492,257,0.5223577235772358,188,0,0,0,0,0,0,0,1,6,25
